year,team_name,avg_points_per_game,scoring_margin_per_game,num_fg_attempts_per_game,fg_percentage,num_3p_per_game,num_3p_attempts_per_game,t3p_percentage,num_ft_attempts_per_game,ft_percentage,rebound_margin,assists_per_game,ato_ratio,avg_opponent_points_per_game,num_opp_fg_attempts_per_game,opp_fg_percentage,num_opp_3p_attempts_per_game,opp_3p_percentage,blocks_per_game,steals_per_game,opp_turnovers_per_game,turnovers_per_game,fouls_per_game,num_dq
2011,Northern Colo,72.16129,6.45161,53.32258,0.43073,7.93548,20.48387,0.38740,23.67742,0.77248,5.38710,11.83871,0.82472,65.70968,51.41935,0.41092,21.35484,0.34592,2.00000,6.16129,14.29032,14.35484,19.38710,8
2011,Oakland,85.61765,9.00000,60.64706,0.49418,8.23529,21.70588,0.37940,24.23529,0.71966,5.23529,16.35294,1.19313,76.61765,63.35294,0.44290,18.61765,0.36177,5.61765,6.14706,12.17647,13.70588,18.44118,14
2011,Old Dominion,65.84848,7.54545,54.03030,0.44139,4.87879,,,20.00000,0.66364,12.15152,14.45455,1.16626,58.30303,52.12121,0.40407,19.51515,0.36957,4.36364,6.81818,11.42424,12.39394,14.72727,5
2011,Penn St,63.03030,0.60606,51.33333,0.43743,6.30303,18.75758,0.33603,16.30303,0.72491,1.36364,12.15152,1.14900,62.42424,51.45455,0.43816,18.96970,0.36741,2.48485,4.45455,10.81818,10.57576,15.66667,8
2011,Princeton,69.61290,6.45161,53.03226,0.46472,6.12903,16.67742,0.36750,19.41935,0.73090,4.16129,13.51613,1.09399,63.16129,53.35484,0.42140,14.12903,0.32648,4.22581,5.90323,12.12903,12.35484,17.41935,7
2011,Saint Peters,61.39394,1.48485,52.24242,0.40371,5.81818,16.72727,0.34783,20.81818,0.64338,-0.45454,11.33333,0.75252,59.90909,53.45455,0.37415,16.87879,0.30521,4.60606,7.66667,14.18182,15.06061,19.48485,7
2011,Southern California,66.84848,4.06060,54.36364,0.44482,6.15152,17.21212,0.35739,18.87879,0.65329,1.21212,12.06061,1.06133,62.78788,53.06061,0.41176,16.54545,0.33333,2.96970,5.96970,11.96970,11.36364,17.24242,12
2011,St Johns NY,70.06250,3.65625,53.59375,0.45481,4.25000,,,24.00000,0.71094,0.06250,12.75000,1.02513,66.40625,51.59375,0.43065,20.81250,0.36637,2.81250,8.00000,16.09375,12.43750,18.87500,13
2011,Tennessee,70.63636,3.33333,57.51515,0.43309,5.21212,17.12121,0.30442,22.84848,0.68302,4.15152,13.12121,0.99312,67.30303,54.96970,0.41455,20.18182,0.33183,3.66667,7.45455,14.09091,13.21212,19.66667,11
2011,Texas AM,68.87500,7.87500,52.12500,0.44484,5.37500,15.90625,0.33792,24.37500,0.70256,6.46875,13.50000,1.04096,61.00000,51.87500,0.41084,17.21875,0.31760,1.56250,6.53125,13.37500,12.96875,18.21875,10
2011,UAB,68.90000,6.56667,55.90000,0.44007,7.56667,22.46667,0.33680,16.86667,0.71937,2.46667,13.66667,1.11413,62.33333,54.73333,0.40987,16.33333,0.31020,3.13333,5.33333,12.43333,12.26667,16.80000,13
2011,UC Santa Barbara,68.35484,3.00000,51.25806,0.45626,7.16129,19.09677,0.37500,19.09677,0.75507,-0.29032,14.48387,1.02278,65.35484,53.51613,0.40205,19.41935,0.36379,4.19355,7.29032,13.45161,14.16129,19.16129,10
2011,UNLV,71.90625,9.28125,55.68750,0.46072,5.53125,16.68750,0.33146,21.84375,0.68956,1.65625,15.53125,1.22716,62.62500,52.81250,0.40000,17.56250,0.32384,3.78125,8.12500,16.25000,12.65625,19.34375,8
2011,Utah St,72.15152,13.90910,52.66667,0.47008,6.06061,16.48485,0.36765,22.51515,0.73620,7.96970,14.84848,1.25641,58.24242,53.36364,0.38274,18.15152,0.30217,3.27273,4.84848,12.15152,11.81818,17.15152,8
2011,Vanderbilt,76.21212,8.57576,54.75758,0.45656,7.78788,21.06061,0.36978,24.66667,0.74693,2.24242,13.39394,1.01843,67.63636,60.81818,0.40957,18.93939,0.30560,4.84848,5.27273,12.21212,13.15152,16.30303,13
2011,Villanova,72.71875,7.15625,55.21875,0.43973,6.34375,18.18750,0.34880,23.50000,0.75798,4.62500,13.75000,1.14883,65.56250,55.34375,0.40542,20.06250,0.32087,3.75000,6.34375,12.12500,11.96875,17.46875,12
2011,Wofford,73.81818,5.96970,54.45455,0.47913,5.84848,14.36364,0.40717,22.84848,0.69098,1.15152,14.39394,1.21483,67.84848,52.30303,0.44728,15.69697,0.35135,2.48485,6.75758,13.42424,11.84848,19.21212,19
2011,Xavier,72.61290,8.06451,53.19355,0.46270,5.51613,16.54839,0.33333,23.90323,0.74764,4.35484,13.32258,1.11321,64.54839,54.77419,0.40224,19.38710,0.33777,3.09677,5.51613,12.45161,11.96774,17.16129,12
2012,Alabama,64.93750,6.81250,52.31250,0.45161,4.03125,,,19.09375,0.71522,2.65625,12.28125,0.94928,58.12500,51.90625,0.38772,17.09375,0.28336,4.15625,7.31250,13.59375,12.93750,18.40625,10
2012,Belmont,81.52941,14.20588,58.00000,0.48377,8.79412,23.23529,0.37848,22.55882,0.73664,3.05882,17.35294,1.40143,67.32353,56.82353,0.42443,17.58824,0.33779,2.29412,7.41176,14.52941,12.38235,18.11765,9
2012,California,71.66667,9.87879,55.15152,0.47912,4.63636,,,19.00000,0.74641,4.42424,16.06061,1.31188,61.78788,55.87879,0.41106,16.75758,0.32731,3.15152,4.78788,12.93939,12.24242,14.39394,7
2012,Colorado St,71.03226,2.67742,50.74194,0.47552,6.00000,14.80645,0.40523,21.80645,0.76923,1.03226,12.32258,0.98964,68.35484,53.06452,0.43647,20.35484,0.35658,1.90323,5.35484,12.09677,12.45161,18.83871,16
2012,Davidson,78.40625,10.62500,59.65625,0.44945,7.84375,23.15625,0.33873,22.15625,0.76446,6.71875,13.84375,1.17196,67.78125,55.56250,0.42745,15.40625,0.34280,3.43750,5.62500,12.46875,11.81250,20.31250,20
2012,Detroit Mercy,72.77143,5.14286,55.57143,0.45398,4.62857,,,24.08571,0.73428,2.02857,12.97143,1.04128,67.62857,53.28571,0.43914,18.57143,0.36769,4.62857,7.51429,15.14286,12.45714,18.94286,13
2012,Duke,77.51515,9.06060,56.27273,0.45773,8.12121,21.60606,0.37588,25.48485,0.70155,2.48485,12.45455,1.02239,68.45455,58.90909,0.43313,14.06061,0.31681,4.03030,6.24242,12.90909,12.18182,18.18182,12
2012,Harvard,65.43333,10.60000,47.80000,0.46722,5.86667,16.46667,0.35628,19.96667,0.74624,4.53333,12.90000,1.04878,54.83333,50.30000,0.40557,13.46667,0.33416,4.56667,6.00000,12.40000,12.30000,15.06667,2
2012,Iona,83.25000,10.68750,61.34375,0.50433,7.75000,19.71875,0.39303,19.03125,0.71593,0.90625,19.34375,1.56313,72.56250,59.37500,0.45000,20.28125,0.35439,2.12500,7.21875,15.93750,12.37500,16.87500,7
2012,LIU Brooklyn,81.87879,4.54546,57.27273,0.47513,6.57576,17.84848,0.36842,28.54545,0.73142,2.54545,14.84848,0.91760,77.33333,68.03030,0.44499,19.03030,0.32803,3.30303,6.06061,13.84848,16.18182,15.78788,15
2012,Lamar University,73.94118,8.50000,59.61765,0.43513,4.38235,,,24.52941,0.72062,5.20589,13.00000,1.07282,65.44118,57.02941,0.41929,14.85294,0.34257,4.47059,8.23529,14.41176,12.11765,17.26471,9
2012,Long Beach St,74.00000,10.36364,55.00000,0.46942,6.57576,18.24242,0.36047,23.54545,0.67053,2.96969,14.03030,1.08941,63.63636,56.33333,0.41904,18.03030,0.33613,2.72727,7.15152,15.12121,12.87879,15.39394,9
2012,Loyola Maryland,67.59375,3.78125,53.78125,0.42766,5.00000,14.68750,0.34043,23.12500,0.71757,3.71875,12.00000,0.89095,63.81250,52.03125,0.42823,14.12500,0.36062,4.34375,7.78125,14.21875,13.46875,18.87500,14
2012,Memphis,75.29412,12.14706,54.26471,0.49431,5.38235,14.58824,0.36895,22.58824,0.72005,1.52941,14.76471,1.15935,63.14706,55.85294,0.38441,17.35294,0.31017,5.67647,7.94118,13.97059,12.73529,19.05882,12
2012,Michigan,66.51515,5.15151,52.21212,0.45618,8.15152,23.18182,0.35163,14.90909,0.71951,-0.96970,12.72727,1.16667,61.36364,52.27273,0.42551,17.33333,0.34441,2.18182,5.03030,12.57576,10.90909,15.57576,10
2012,Mississippi Val,68.90909,-0.36364,59.51515,0.40224,7.51515,22.87879,0.32848,20.78788,0.65015,0.09091,13.30303,0.91841,69.27273,54.21212,0.43712,18.03030,0.38824,2.39394,8.75758,16.24242,14.48485,20.42424,23
2012,Missouri,80.29412,14.55883,55.58824,0.50370,8.23529,20.82353,0.39548,20.97059,0.76578,0.67647,16.20588,1.57429,65.73529,55.79412,0.44122,17.20588,0.36239,2.82353,8.20588,14.41176,10.29412,14.11765,11
2012,Montana,70.64516,8.96774,52.96774,0.46468,6.19355,16.61290,0.37282,21.22581,0.71733,-0.35484,13.80645,1.09184,61.67742,52.90323,0.40305,15.45161,0.32359,3.64516,7.16129,15.09677,12.64516,18.38710,10
2012,New Mexico St,78.45714,10.45714,57.02857,0.47244,4.60000,,,29.94286,0.66698,8.71428,14.02857,0.95155,68.00000,58.02857,0.42541,18.45714,0.31889,4.22857,6.82857,14.62857,14.74286,17.62857,16
2012,Notre Dame,66.48485,5.03030,53.06061,0.43175,6.42424,19.51515,0.32919,20.12121,0.70783,-0.42425,14.48485,1.44411,61.45455,56.60606,0.41167,15.90909,0.31048,3.42424,5.18182,10.81818,10.03030,13.75758,9
2012,Saint Marys CA,74.93750,12.56250,54.59375,0.47510,7.53125,21.50000,0.35029,21.37500,0.72661,7.21875,15.90625,1.36828,62.37500,54.53125,0.42693,14.81250,0.36076,3.09375,7.00000,11.96875,11.62500,15.90625,4
2012,San Diego St,71.24242,8.00000,55.81818,0.45603,5.72727,16.81818,0.34054,20.87879,0.69956,4.81818,12.36364,0.97842,63.24242,56.60606,0.39989,20.72727,0.33772,2.33333,5.63636,12.87879,12.63636,15.93939,9
2012,South Dakota St,77.32353,10.82353,56.26471,0.46890,8.05882,20.52941,0.39255,22.61765,0.72952,2.35294,14.23529,1.35574,66.50000,55.58824,0.44868,17.38235,0.32318,1.88235,6.73529,13.02941,10.50000,16.17647,4
2012,Southern Miss,71.57576,6.66667,58.03030,0.41619,6.27273,17.51515,0.35813,23.09091,0.73622,4.60606,11.09091,0.99728,64.90909,51.06061,0.44214,15.24242,0.35189,2.96970,5.96970,14.39394,11.12121,18.96970,16
2012,St Bonaventure,70.67742,5.67742,52.58065,0.45828,5.38710,15.80645,0.34082,22.48387,0.76040,5.51613,13.80645,0.97273,65.00000,53.87097,0.41617,17.70968,0.32423,4.19355,5.70968,12.54839,14.19355,18.58065,9
2012,Temple,76.03226,6.12903,57.87097,0.47157,7.29032,18.12903,0.40214,19.70968,0.71849,1.12903,15.61290,1.24742,69.90323,58.22581,0.43712,16.61290,0.33592,4.16129,7.22581,13.41935,12.51613,17.67742,7
2012,Texas,73.06061,6.24243,56.66667,0.43636,5.75758,17.60606,0.32702,24.42424,0.73077,3.03030,12.36364,0.98313,66.81818,54.63636,0.41431,16.84848,0.35252,3.63636,6.81818,13.66667,12.57576,19.51515,22
2012,UConn,68.84848,4.72727,55.87879,0.45390,5.39394,16.30303,0.33086,19.24242,0.66142,3.18181,13.60606,1.08454,64.12121,60.00000,0.38333,21.12121,0.34290,6.90909,5.81818,10.93939,12.54545,14.39394,5
2012,UNC Asheville,81.21212,9.87879,56.30303,0.48385,6.48485,18.36364,0.35314,26.57576,0.76169,1.39394,16.63636,1.23649,71.33333,57.36364,0.44374,19.63636,0.35340,2.66667,8.48485,16.06061,13.45455,17.87879,9
2012,UNLV,76.67647,10.82353,58.55882,0.46158,8.29412,22.44118,0.36959,21.08824,0.67922,3.32353,17.73529,1.31659,65.85294,57.14706,0.40916,18.55882,0.33281,4.73529,8.38235,15.17647,13.47059,17.11765,12
2012,Virginia,63.06452,9.38710,49.32258,0.45978,4.90323,,,17.67742,0.72445,3.22581,12.32258,1.07910,53.67742,49.54839,0.39583,15.87097,0.29472,2.80645,6.51613,12.93548,11.41935,15.83871,6
2012,West Virginia,71.62500,5.46875,58.28125,0.44075,5.34375,17.68750,0.30212,22.21875,0.67089,6.75000,14.59375,1.13350,66.15625,55.18750,0.44564,16.78125,0.31657,2.56250,6.50000,13.56250,12.87500,16.81250,9
2012,Wichita St,77.68750,15.25000,57.18750,0.48525,7.03125,18.87500,0.37252,20.18750,0.75077,6.71875,14.75000,1.20716,62.43750,56.15625,0.39176,18.18750,0.30928,3.93750,6.28125,12.87500,12.21875,16.90625,5
2013,Akron,72.71875,10.75000,57.21875,0.45713,7.12500,21.12500,0.33728,20.59375,0.64492,6.00000,15.00000,1.10092,61.96875,55.18750,0.38958,16.50000,0.31818,5.71875,7.15625,13.81250,13.62500,17.65625,8
2013,Albany NY,64.41176,4.11764,49.88235,0.43750,6.00000,16.47059,0.36429,20.11765,0.73392,2.97059,11.17647,0.83516,60.29412,53.00000,0.42175,18.50000,0.33068,2.02941,5.44118,12.55882,13.38235,16.02941,6
2013,Belmont,77.15625,13.15625,56.03125,0.49414,8.46875,21.93750,0.38604,18.15625,0.73322,-0.78125,15.90625,1.17824,64.00000,53.03125,0.41014,19.78125,0.33017,2.75000,9.84375,17.37500,13.50000,18.31250,4
2013,Boise St,73.29032,8.29032,56.03226,0.45941,7.80645,19.96774,0.39095,18.67742,0.74957,4.19354,13.19355,1.09067,65.00000,50.77419,0.43075,19.45161,0.33167,1.70968,6.74194,13.54839,12.09677,18.90323,16
2013,Bucknell,67.30303,9.78788,52.87879,0.45559,4.60606,,,19.51515,0.74379,5.81819,13.39394,1.41667,57.51515,54.81818,0.37756,16.93939,0.31127,4.09091,3.57576,9.15152,9.45455,14.48485,2
2013,Cincinnati,66.63636,7.87878,57.54545,0.40232,6.81818,21.48485,0.31735,20.81818,0.64920,6.45455,12.21212,0.95272,58.75758,54.81818,0.38530,16.57576,0.29982,6.18182,7.00000,13.21212,12.81818,17.69697,14
2013,Colorado,68.15625,4.37500,54.28125,0.43638,5.40625,15.56250,0.34739,22.46875,0.68428,3.40625,10.03125,0.75708,63.78125,58.31250,0.40354,20.90625,0.32287,3.12500,7.03125,12.93750,13.25000,15.78125,13
2013,Davidson,73.69697,11.54545,53.54545,0.46293,7.57576,20.51515,0.36928,20.66667,0.80059,2.39394,13.96970,1.28056,62.15152,52.93939,0.41156,14.00000,0.32684,2.93939,5.66667,12.27273,10.90909,17.69697,8
2013,Georgetown,64.58065,8.83871,50.41935,0.45617,5.87097,16.41935,0.35756,18.67742,0.68048,1.19354,14.80645,1.16794,55.74194,51.61290,0.37625,17.58065,0.30459,3.83871,7.54839,14.22581,12.67742,16.87097,19
2013,Iona,80.69697,4.93939,61.84848,0.45713,8.39394,22.51515,0.37281,20.24242,0.77844,0.15151,15.45455,1.26866,75.75758,60.96970,0.44930,21.54545,0.37271,3.00000,6.60606,14.09091,12.18182,17.09091,13
2013,Kansas St,69.20588,8.85294,57.20588,0.43599,6.88235,18.97059,0.36279,18.05882,0.68893,3.20589,16.02941,1.38325,60.35294,51.26471,0.41824,15.29412,0.31538,3.58824,7.08824,14.26471,11.58824,18.14706,10
