id,year,team_name,number_of_victories
304,2014,NC Central,0
306,2014,Nebraska,0
307,2014,New Mexico,0
308,2014,New Mexico St,0
311,2014,Ohio St,0
312,2014,Oklahoma,0
313,2014,Oklahoma St,0
316,2014,Providence,0
318,2014,Saint Josephs,0
325,2014,Texas Southern,0
326,2014,Tulsa,0
329,2014,VCU,0
332,2014,Weber St,0
333,2014,Western Mich,0
336,2014,Wofford,0
337,2014,Xavier,0
338,2015,Albany NY,0
341,2015,BYU,0
342,2015,Baylor,0
343,2015,Belmont,0
344,2015,Boise St,0
345,2015,Buffalo,0
348,2015,Coastal Caro,0
349,2015,Davidson,0
352,2015,Eastern Wash,0
354,2015,Georgia,0
358,2015,Harvard,0
359,2015,Indiana,0
361,2015,Iowa St,0
364,2015,LSU,0
365,2015,Lafayette,0
367,2015,Manhattan,0
371,2015,New Mexico St,0
373,2015,North Dakota St,0
374,2015,North Florida,0
375,2015,Northeastern,0
379,2015,Oklahoma St,0
382,2015,Providence,0
383,2015,Purdue,0
385,2015,SFA,0
386,2015,SMU,0
388,2015,St Johns NY,0
389,2015,Texas,0
390,2015,Texas Southern,0
392,2015,UC Irvine,0
396,2015,VCU,0
397,2015,Valparaiso,0
403,2015,Wofford,0
404,2015,Wyoming,0
406,2016,Arizona,0
407,2016,Austin Peay,0
408,2016,Baylor,0
409,2016,Buffalo,0
411,2016,CSU Bakersfield,0
412,2016,California,0
413,2016,Chattanooga,0
414,2016,Cincinnati,0
415,2016,Colorado,0
416,2016,Dayton,0
419,2016,Fairleigh Dickinson,0
420,2016,Fresno St,0
422,2016,Green Bay,0
423,2016,Hampton,0
427,2016,Iona,0
436,2016,Michigan St,0
442,2016,Oregon St,0
443,2016,Pittsburgh,0
445,2016,Purdue,0
448,2016,Seton Hall,0
449,2016,South Dakota St,0
450,2016,Southern California,0
451,2016,Southern U,0
452,2016,Stony Brook,0
454,2016,Temple,0
455,2016,Texas,0
457,2016,Texas Tech,0
458,2016,Tulsa,0
460,2016,UNC Asheville,0
461,2016,UNCW,0
465,2016,Vanderbilt,0
468,2016,Weber St,0
469,2016,West Virginia,0
477,2017,Bucknell,0
480,2017,Creighton,0
481,2017,Dayton,0
483,2017,ETSU,0
484,2017,FGCU,0
488,2017,Iona,0
490,2017,Jacksonville St,0
493,2017,Kent St,0
496,2017,Marquette,0
497,2017,Maryland,0
498,2017,Miami FL,0
502,2017,Minnesota,0
504,2017,NC Central,0
505,2017,Nevada,0
506,2017,New Mexico St,0
507,2017,New Orleans,0
509,2017,North Dakota,0
510,2017,Northern Ky,0
513,2017,Oklahoma St,0
515,2017,Princeton,0
516,2017,Providence,0
519,2017,SMU,0
520,2017,Seton Hall,0
522,2017,South Dakota St,0
524,2017,Texas Southern,0
525,2017,Troy,0
528,2017,UNCW,0
530,2017,VCU,0
531,2017,Vanderbilt,0
532,2017,Vermont,0
535,2017,Virginia Tech,0
536,2017,Wake Forest,0
539,2017,Winthrop,0
542,2018,Virginia,0
545,2018,Arizona,0
547,2018,Miami FL,0
549,2018,Creighton,0
551,2018,Texas,0
553,2018,Davidson,0
555,2018,Wright St,0
556,2018,Georgia St,0
565,2018,Missouri,0
567,2018,Providence,0
568,2018,San Diego St,0
569,2018,South Dakota St,0
570,2018,UNC Greensboro,0
571,2018,Montana,0
572,2018,Lipscomb,0
573,2018,NC Central,0
574,2018,Texas Southern,0
578,2018,Wichita St,0
581,2018,Arkansas,0
582,2018,Virginia Tech,0
585,2018,St Bonaventure,0
586,2018,UCLA,0
587,2018,Murray St,0
589,2018,SFA,0
590,2018,Cal St Fullerton,0
591,2018,LIU Brooklyn,0
592,2018,Radford,0
8,2010,Duke,6
4,2010,Butler,5
23,2010,Michigan St,4
61,2010,West Virginia,4
3,2010,Baylor,3
18,2010,Kentucky,3
48,2010,Tennessee,3
17,2010,Kansas St,3
39,2010,Purdue,2
60,2010,Washington,2
65,2010,Xavier,2
35,2010,Ohio St,2
7,2010,Cornell,2
46,2010,Syracuse,2
42,2010,Saint Marys CA,2
52,2010,UNI,2
34,2010,Ohio,1
50,2010,Texas AM,1
59,2010,Wake Forest,1
1,2010,Ark-Pine Bluff,1
25,2010,Missouri,1
37,2010,Old Dominion,1
29,2010,New Mexico,1
16,2010,Kansas,1
38,2010,Pittsburgh,1
28,2010,Murray St,1
58,2010,Villanova,1
5,2010,California,1
14,2010,Gonzaga,1
13,2010,Georgia Tech,1
22,2010,Maryland,1
63,2010,Wisconsin,1
2,2010,BYU,1
121,2011,UConn,6
73,2011,Butler,5
126,2011,VCU,5
88,2011,Kentucky,4
68,2011,Arizona,3
77,2011,Florida,3
98,2011,North Carolina,3
86,2011,Kansas,3
108,2011,Richmond,2
110,2011,San Diego St,2
76,2011,Duke,2
92,2011,Marquette,2
131,2011,Wisconsin,2
102,2011,Ohio St,2
78,2011,Florida St,2
69,2011,BYU,2
129,2011,Washington,1
130,2011,West Virginia,1
116,2011,Texas,1
84,2011,Illinois,1
82,2011,Gonzaga,1
75,2011,Clemson,1
114,2011,Temple,1
74,2011,Cincinnati,1
122,2011,UNC Asheville,1
105,2011,Pittsburgh,1
124,2011,UTSA,1
107,2011,Purdue,1
120,2011,UCLA,1
97,2011,Morehead St,1
87,2011,Kansas St,1
94,2011,Michigan,1
113,2011,Syracuse,1
79,2011,George Mason,1
100,2011,Notre Dame,1
156,2012,Kentucky,6
154,2012,Kansas,5
161,2012,Louisville,4
178,2012,Ohio St,4
136,2012,Baylor,3
146,2012,Florida,3
187,2012,Syracuse,3
175,2012,North Carolina,3
201,2012,Xavier,2
151,2012,Indiana,2
139,2012,Cincinnati,2
200,2012,Wisconsin,2
171,2012,NC State,2
177,2012,Ohio,2
